ranks nx ny nz num_iter time num_streams
###1, 128, 128, 2048, 128, 0.472503, 8
###1, 128, 128, 2048, 256, 0.925188, 8
###1, 128, 128, 2048, 512, 1.82368, 8
###1, 128, 128, 2048, 1024, 3.66975, 8
###1, 128, 128, 4096, 32, 0.250417, 8
###1, 128, 128, 4096, 64, 0.478087, 8
###1, 128, 128, 4096, 128, 0.921582, 8
###1, 128, 128, 4096, 256, 1.81232, 8
###1, 128, 128, 4096, 512, 3.58477, 8
###1, 128, 128, 4096, 1024, 7.10586, 8
###1, 128, 128, 8192, 32, 0.499822, 8
###1, 128, 128, 8192, 64, 0.937225, 8
###1, 128, 128, 8192, 128, 1.82306, 8
###1, 128, 128, 8192, 256, 3.61377, 8
###1, 128, 128, 8192, 512, 7.09035, 8
###1, 128, 128, 8192, 1024, 14.2303, 8
###1, 128, 128, 16384, 32, 1.15798, 8
###1, 128, 128, 16384, 64, 2.25802, 8
###1, 128, 128, 16384, 128, 4.28779, 8
###1, 128, 128, 16384, 256, 8.47501, 8
###1, 128, 128, 16384, 512, 17.2323, 8
###1, 128, 128, 16384, 1024, 34.4416, 8
###1, 128, 128, 32768, 32, 2.49336, 8
###1, 128, 128, 32768, 64, 4.74629, 8
###1, 128, 128, 32768, 128, 9.26594, 8
###1, 128, 128, 32768, 256, 17.8625, 8
###1, 128, 128, 32768, 512, 35.445, 8
###1, 128, 128, 32768, 1024, 72.272, 8
###1, 128, 128, 65536, 32, 2.31862, 8
###1, 128, 128, 65536, 64, 4.35922, 8
###1, 128, 128, 65536, 128, 8.3072, 8
###1, 128, 128, 65536, 256, 15.8326, 8
###1, 128, 128, 65536, 512, 32.0473, 8
###1, 128, 128, 65536, 1024, 63.69, 8
###1, 128, 128, 8, 32, 0.00210106, 16
###1, 128, 128, 8, 64, 0.00372608, 16
###1, 128, 128, 8, 128, 0.00701687, 16
###1, 128, 128, 8, 256, 0.0137921, 16
###1, 128, 128, 8, 512, 0.026748, 16
###1, 128, 128, 8, 1024, 0.0528836, 16
###1, 128, 128, 16, 32, 0.00262257, 16
###1, 128, 128, 16, 64, 0.00469198, 16
###1, 128, 128, 16, 128, 0.00891864, 16
###1, 128, 128, 16, 256, 0.0171843, 16
###1, 128, 128, 16, 512, 0.0340432, 16
###1, 128, 128, 16, 1024, 0.0678595, 16
###1, 128, 128, 32, 32, 0.00341641, 16
###1, 128, 128, 32, 64, 0.00631719, 16
###1, 128, 128, 32, 128, 0.0121488, 16
###1, 128, 128, 32, 256, 0.0235495, 16
###1, 128, 128, 32, 512, 0.0463454, 16
###1, 128, 128, 32, 1024, 0.0917911, 16
###1, 128, 128, 64, 32, 0.00502415, 16
###1, 128, 128, 64, 64, 0.00912033, 16
###1, 128, 128, 64, 128, 0.0178675, 16
###1, 128, 128, 64, 256, 0.0344737, 16
###1, 128, 128, 64, 512, 0.0682295, 16
###1, 128, 128, 64, 1024, 0.136328, 16
###1, 128, 128, 128, 32, 0.00821348, 16
###1, 128, 128, 128, 64, 0.0156879, 16
###1, 128, 128, 128, 128, 0.0304174, 16
###1, 128, 128, 128, 256, 0.0587552, 16
###1, 128, 128, 128, 512, 0.117325, 16
###1, 128, 128, 128, 1024, 0.232274, 16
###1, 128, 128, 256, 32, 0.0159875, 16
###1, 128, 128, 256, 64, 0.0299669, 16
###1, 128, 128, 256, 128, 0.0574964, 16
###1, 128, 128, 256, 256, 0.11311, 16
###1, 128, 128, 256, 512, 0.221343, 16
###1, 128, 128, 256, 1024, 0.445178, 16
###1, 128, 128, 512, 32, 0.0307021, 16
###1, 128, 128, 512, 64, 0.0570497, 16
###1, 128, 128, 512, 128, 0.111299, 16
###1, 128, 128, 512, 256, 0.21499, 16
###1, 128, 128, 512, 512, 0.425103, 16
###1, 128, 128, 512, 1024, 0.856069, 16
###1, 128, 128, 1024, 32, 0.0607681, 16
###1, 128, 128, 1024, 64, 0.113328, 16
###1, 128, 128, 1024, 128, 0.216411, 16
###1, 128, 128, 1024, 256, 0.418869, 16
