ranks, nx, ny, nz, num_iter, time, num_streams
###1, 128, 128, 512, 1024, 1.39658, 2
###1, 128, 128, 512, 1024, 1.19143, 4
###1, 128, 128, 512, 1024, 1.1064, 8
###1, 128, 128, 512, 1024, 1.04908, 16
###1, 128, 128, 512, 1024, 1.02979, 32
###1, 128, 128, 512, 1024, 1.09617, 64
###1, 128, 128, 512, 1024, 1.20968, 128
###1, 128, 128, 512, 1024, 1.42719, 256
###1, 128, 128, 1024, 32, 0.122262, 1
###1, 128, 128, 1024, 32, 0.0966002, 2
###1, 128, 128, 1024, 32, 0.0851656, 4
###1, 128, 128, 1024, 32, 0.0789874, 8
###1, 128, 128, 1024, 32, 0.0746706, 16
###1, 128, 128, 1024, 32, 0.0728142, 32
###1, 128, 128, 1024, 32, 0.0743242, 64
###1, 128, 128, 1024, 32, 0.0792929, 128
###1, 128, 128, 1024, 32, 0.0876625, 256
###1, 128, 128, 1024, 64, 0.233012, 1
###1, 128, 128, 1024, 64, 0.182091, 2
###1, 128, 128, 1024, 64, 0.156542, 4
###1, 128, 128, 1024, 64, 0.146748, 8
###1, 128, 128, 1024, 64, 0.13796, 16
###1, 128, 128, 1024, 64, 0.133687, 32
###1, 128, 128, 1024, 64, 0.137525, 64
###1, 128, 128, 1024, 64, 0.148413, 128
###1, 128, 128, 1024, 64, 0.163758, 256
###1, 128, 128, 1024, 128, 0.455381, 1
###1, 128, 128, 1024, 128, 0.352749, 2
###1, 128, 128, 1024, 128, 0.302573, 4
###1, 128, 128, 1024, 128, 0.279294, 8
###1, 128, 128, 1024, 128, 0.264214, 16
###1, 128, 128, 1024, 128, 0.257159, 32
###1, 128, 128, 1024, 128, 0.266196, 64
###1, 128, 128, 1024, 128, 0.28471, 128
###1, 128, 128, 1024, 128, 0.31382, 256
###1, 128, 128, 1024, 256, 0.90239, 1
###1, 128, 128, 1024, 256, 0.698072, 2
###1, 128, 128, 1024, 256, 0.592716, 4
###1, 128, 128, 1024, 256, 0.547635, 8
###1, 128, 128, 1024, 256, 0.518169, 16
###1, 128, 128, 1024, 256, 0.499849, 32
###1, 128, 128, 1024, 256, 0.522003, 64
###1, 128, 128, 1024, 256, 0.559516, 128
###1, 128, 128, 1024, 256, 0.619072, 256
###1, 128, 128, 1024, 512, 1.72087, 1
###1, 128, 128, 1024, 512, 1.37348, 2
###1, 128, 128, 1024, 512, 1.19901, 4
###1, 128, 128, 1024, 512, 1.08802, 8
###1, 128, 128, 1024, 512, 1.02492, 16
###1, 128, 128, 1024, 512, 0.989479, 32
###1, 128, 128, 1024, 512, 1.02323, 64
###1, 128, 128, 1024, 512, 1.10105, 128
###1, 128, 128, 1024, 512, 1.22485, 256
###1, 128, 128, 1024, 1024, 3.57011, 1
###1, 128, 128, 1024, 1024, 2.75217, 2
###1, 128, 128, 1024, 1024, 2.38536, 4
###1, 128, 128, 1024, 1024, 2.15082, 8
###1, 128, 128, 1024, 1024, 2.05182, 16
###1, 128, 128, 1024, 1024, 1.97276, 32
###1, 128, 128, 1024, 1024, 2.03894, 64
###1, 128, 128, 1024, 1024, 2.19403, 128
###1, 128, 128, 1024, 1024, 2.4266, 256
###1, 128, 128, 2048, 32, 0.243975, 1
###1, 128, 128, 2048, 32, 0.191333, 2
###1, 128, 128, 2048, 32, 0.16647, 4
###1, 128, 128, 2048, 32, 0.154256, 8
###1, 128, 128, 2048, 32, 0.148419, 16
###1, 128, 128, 2048, 32, 0.143227, 32
###1, 128, 128, 2048, 32, 0.141201, 64
###1, 128, 128, 2048, 32, 0.149144, 128
###1, 128, 128, 2048, 32, 0.158092, 256
###1, 128, 128, 2048, 64, 0.448134, 1
